identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-12-03,11.55,11.55,1100.0,24.454,21.587500000000002
00660,2020-12-03,24.6,24.7,11000.0,24.66,24.064999999999998
00661,2020-12-03,33.13,33.39,95000.0,33.278,32.3295
00662,2020-12-03,45.91,45.7,248646.0,45.263999999999996,44.290000000000006
00663L,2020-12-03,71.55,71.6,158040.0,70.88000000000001,67.78999999999999
00664R,2020-12-03,8.46,8.45,4996000.0,8.494000000000002,8.707
00665L,2020-12-03,24.23,24.18,63000.0,24.645999999999997,24.387999999999998
00666R,2020-12-03,11.82,11.8,86000.0,11.728,11.778
00668,2020-12-03,30.6,30.69,23036.0,30.665999999999997,30.3545
00668K,2020-12-03,10.75,10.75,100.0,10.748000000000001,10.6205
00669R,2020-12-03,9.53,9.53,3076000.0,9.542,9.6705
00670L,2020-12-03,77.1,77.15,553800.0,75.64,72.38000000000001
00671R,2020-12-03,6.71,6.68,4990000.0,6.767999999999999,6.931
00673R,2020-12-03,26.66,26.5,220000.0,26.690000000000005,28.3995
00674R,2020-12-03,13.27,13.21,756000.0,13.437999999999999,13.0685
00675L,2020-12-03,30.8,30.92,422175.0,30.512,29.180499999999995
00676R,2020-12-03,4.59,4.58,3297000.0,4.62,4.7325
00677U,2020-12-03,3.85,3.86,90819070.0,3.8280000000000003,3.9524999999999997
00678,2020-12-03,26.66,26.61,79982.0,26.438,25.926
00680L,2020-12-03,28.61,28.51,419000.0,29.422000000000004,29.482499999999998
00681R,2020-12-03,12.86,12.84,35000.0,12.680000000000001,12.7045
00682U,2020-12-03,18.11,18.1,235165.0,18.286,18.386
00683L,2020-12-03,16.8,16.7,3190000.0,17.106,17.348999999999997
00684R,2020-12-03,19.18,19.18,5000.0,19.006,18.8875
00685L,2020-12-03,26.85,27.09,10000.0,26.77,25.641000000000002
00686R,2020-12-03,5.02,5.01,184000.0,5.042,5.164
00688L,2020-12-03,28.78,28.64,138000.0,29.556,29.629499999999997
00689R,2020-12-03,13.25,13.25,220000.0,13.070000000000002,13.0645
00690,2020-12-03,27.0,26.96,138609.0,26.887999999999998,27.098000000000003
00692,2020-12-03,28.78,28.82,1962464.0,28.65,28.257500000000004
00693U,2020-12-03,17.79,17.83,4942050.0,18.098,17.923
00700,2020-12-03,19.35,19.38,114020.0,19.482,19.434
00701,2020-12-03,21.48,21.49,1017445.0,21.522,21.413
00702,2020-12-03,17.47,17.47,9087.0,17.488,17.038999999999998
00703,2020-12-03,24.8,24.86,161000.0,25.226,25.244999999999997
00706L,2020-12-03,17.92,17.93,3000.0,17.994,17.982
00707R,2020-12-03,18.77,18.77,0.0,18.73,18.784
00708L,2020-12-03,28.43,28.66,4739300.0,27.718,29.4865
00709,2020-12-03,20.9,20.92,114000.0,20.727999999999998,20.3
00710B,2020-12-03,18.72,18.74,759000.0,18.714,18.6245
00711B,2020-12-03,22.21,22.21,120095.0,22.212,22.203
00712,2020-12-03,12.43,12.5,1974832.0,12.496,11.8855
00713,2020-12-03,33.93,33.87,125642.0,33.914,34.444
00714,2020-12-03,18.58,18.57,224561.0,18.645999999999997,18.678500000000003
00715L,2020-12-03,4.25,4.37,74942300.0,4.21,3.7009999999999996
00717,2020-12-03,16.83,16.86,1054826.0,16.836000000000002,16.7445
00728,2020-12-03,24.52,24.6,217000.0,24.369999999999997,23.948500000000003
00730,2020-12-03,17.82,17.85,703196.0,17.65,17.294
