identifier,date_,open_,close_,volume_,MA_5,MA_20
00657K,2020-05-11,8.52,8.52,100.0,11.58,10.625499999999999
00660,2020-05-11,20.83,20.85,216000.0,20.424,20.336
00661,2020-05-11,26.06,26.0,3000.0,25.195999999999998,24.773000000000003
00662,2020-05-11,35.7,35.61,297218.0,34.786,33.767
00663L,2020-05-11,40.08,40.06,210000.0,38.844,36.6405
00664R,2020-05-11,11.63,11.61,4494000.0,11.818000000000001,12.209
00665L,2020-05-11,21.12,21.31,211000.0,20.406,20.516000000000002
00666R,2020-05-11,13.55,13.52,172000.0,13.785999999999998,13.7685
00668,2020-05-11,8.86,8.86,100.0,12.117999999999999,14.635500000000002
00668K,2020-05-11,8.86,8.86,100.0,8.696,8.626
00669R,2020-05-11,12.26,12.28,6771000.0,12.542,12.709
00670L,2020-05-11,44.52,44.39,1776000.0,42.302,39.919500000000006
00671R,2020-05-11,9.48,9.48,2620000.0,9.72,10.089
00673R,2020-05-11,42.21,41.81,949460.0,42.914,39.518
00674R,2020-05-11,14.3,14.32,740000.0,14.294,14.209
00675L,2020-05-11,17.52,17.54,584000.0,16.972,16.005000000000003
00676R,2020-05-11,6.27,6.28,3579000.0,6.382,6.599499999999999
00677U,2020-05-11,6.17,6.23,205498318.0,6.828,7.297500000000001
00678,2020-05-11,24.95,24.77,506241.0,24.518,23.915
00680L,2020-05-11,32.04,32.0,453300.0,32.739999999999995,33.653499999999994
00681R,2020-05-11,12.82,12.82,62000.0,12.66,12.5205
00682U,2020-05-11,19.69,19.67,4021.0,19.828,19.881
00683L,2020-05-11,20.22,20.22,2000.0,20.292,20.360999999999997
00684R,2020-05-11,17.87,17.87,2000.0,17.887999999999998,17.964
00685L,2020-05-11,15.0,15.03,21000.0,14.675999999999998,14.003499999999999
00686R,2020-05-11,6.84,6.85,676000.0,6.962000000000001,7.195
00688L,2020-05-11,32.45,32.43,104000.0,33.172000000000004,34.2615
00689R,2020-05-11,13.07,13.11,106000.0,12.940000000000001,12.805000000000001
00690,2020-05-11,22.02,22.03,422876.0,21.716,21.105
00692,2020-05-11,22.0,22.01,2955361.0,21.728,21.2365
00693U,2020-05-11,13.95,13.89,5104000.0,13.876,13.8075
00700,2020-05-11,18.78,18.75,112000.0,18.244,18.354499999999998
00701,2020-05-11,20.09,20.22,2641278.0,19.964000000000002,19.565
00702,2020-05-11,15.85,16.0,62000.0,15.725999999999999,15.874499999999998
00703,2020-05-11,20.17,20.37,219000.0,19.702,19.901999999999997
00706L,2020-05-11,17.48,17.47,45000.0,17.65,17.476499999999998
00707R,2020-05-11,19.48,19.47,2000.0,19.387999999999998,19.5075
00708L,2020-05-11,27.25,27.15,8050000.0,27.248,27.790499999999998
00709,2020-05-11,17.36,17.42,212000.0,17.023999999999997,16.976
00710B,2020-05-11,18.05,18.02,249161.0,18.080000000000002,18.336499999999997
00711B,2020-05-11,20.61,20.6,109000.0,20.456,20.229000000000003
00712,2020-05-11,9.66,9.68,4802921.0,9.478,9.371500000000001
00713,2020-05-11,30.5,30.63,41621.0,30.274,29.5305
00714,2020-05-11,17.58,17.58,18100.0,17.264000000000003,17.5785
00715L,2020-05-11,6.07,6.23,26738000.0,6.168,5.5845
00717,2020-05-11,16.38,16.4,1032261.0,16.330000000000002,16.355
00728,2020-05-11,19.06,18.99,537048.0,18.676,17.8835
00730,2020-05-11,16.83,16.9,678556.0,16.601999999999997,16.1075
00731,2020-05-11,44.36,44.43,583000.0,43.959999999999994,42.9445
00732,2020-05-11,37.97,37.97,101000.0,38.022,38.2165
00733,2020-05-11,19.74,19.86,265848.0,19.544,18.8925
00735,2020-05-11,19.47,19.45,341000.0,19.128,18.7945
00736,2020-05-11,17.08,17.16,229000.0,16.77,16.7255
00737,2020-05-11,21.42,21.39,1152159.0,20.698,19.813
00738U,2020-05-11,17.39,17.38,2498000.0,16.798000000000002,17.057
00739,2020-05-11,21.05,20.97,406735.0,20.472,20.327
00742,2020-05-11,20.39,20.3,115000.0,20.192,19.718
00743,2020-05-11,20.99,20.8,124164.0,20.491999999999997,20.240500000000004
00752,2020-05-11,23.09,23.12,816515.0,22.676,22.872999999999998
00753L,2020-05-11,22.99,23.5,655000.0,22.074,22.356
00757,2020-05-11,27.1,27.04,307000.0,26.222,25.423000000000002
00762,2020-05-11,26.35,26.3,472606.0,25.394,24.4895
00763U,2020-05-11,16.52,16.5,71000.0,16.182,16.0545
